# q=  0.12625870E-03  0.12625870E-03  0.00000000E+00  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.13968311E-08     -0.23651833E-08     -0.21586096E-05     -0.33718490E-02
       2     -0.15348536E-08     -0.23651833E-08     -0.43985135E-05     -0.33718490E-02
       3     -0.15894566E-08     -0.23651833E-08     -0.52454004E-05     -0.33718490E-02
       4     -0.16174699E-08     -0.23651833E-08     -0.63327167E-05     -0.33718490E-02
       5     -0.16887823E-08     -0.23651833E-08     -0.70537219E-05     -0.33718490E-02
       6     -0.17068022E-08     -0.23651833E-08     -0.81163725E-05     -0.33718490E-02
       7     -0.18646624E-08     -0.23651833E-08     -0.10069114E-04     -0.33718490E-02
       8     -0.19835714E-08     -0.23651833E-08     -0.10909778E-04     -0.33718490E-02
       9     -0.20846228E-08     -0.23651833E-08     -0.13400431E-04     -0.33718490E-02
      10     -0.21712530E-08     -0.23651833E-08     -0.15488117E-04     -0.33718490E-02
      11     -0.21959467E-08     -0.23651833E-08     -0.16861025E-04     -0.33718490E-02
      12     -0.22400467E-08     -0.23651833E-08     -0.18975000E-04     -0.33718490E-02
      13     -0.22777010E-08     -0.23651833E-08     -0.21276416E-04     -0.33718490E-02
      14     -0.22874403E-08     -0.23651833E-08     -0.23418822E-04     -0.33718490E-02
      15     -0.22965474E-08     -0.23651833E-08     -0.23945790E-04     -0.33718490E-02
      16     -0.23007707E-08     -0.23651833E-08     -0.24909357E-04     -0.33718490E-02
      17     -0.23049558E-08     -0.23651833E-08     -0.25587917E-04     -0.33718490E-02
      18     -0.23085454E-08     -0.23651833E-08     -0.26700655E-04     -0.33718490E-02
      19     -0.23117002E-08     -0.23651833E-08     -0.27761455E-04     -0.33718490E-02
      20     -0.23150132E-08     -0.23651833E-08     -0.28859298E-04     -0.33718490E-02
      21     -0.23176395E-08     -0.23651833E-08     -0.30186198E-04     -0.33718490E-02
      22     -0.23194431E-08     -0.23651833E-08     -0.30598644E-04     -0.33718490E-02
      23     -0.23212340E-08     -0.23651833E-08     -0.31493196E-04     -0.33718490E-02
      24     -0.23234013E-08     -0.23651833E-08     -0.31868424E-04     -0.33718490E-02
      25     -0.23247729E-08     -0.23651833E-08     -0.32342353E-04     -0.33718490E-02
      26     -0.23260832E-08     -0.23651833E-08     -0.32877085E-04     -0.33718490E-02
      27     -0.23270628E-08     -0.23651833E-08     -0.33246348E-04     -0.33718490E-02
      28     -0.23283418E-08     -0.23651833E-08     -0.33746026E-04     -0.33718490E-02
      29     -0.23292428E-08     -0.23651833E-08     -0.34057905E-04     -0.33718490E-02
      30     -0.23302071E-08     -0.23651833E-08     -0.34412663E-04     -0.33718490E-02
      31     -0.23313653E-08     -0.23651833E-08     -0.34731928E-04     -0.33718490E-02
      32     -0.23327656E-08     -0.23651833E-08     -0.35158504E-04     -0.33718490E-02
      33     -0.23337988E-08     -0.23651833E-08     -0.35406078E-04     -0.33718490E-02
      34     -0.23370245E-08     -0.23651833E-08     -0.36143421E-04     -0.33718490E-02
      35     -0.23384972E-08     -0.23651833E-08     -0.36409736E-04     -0.33718490E-02
      36     -0.23411999E-08     -0.23651833E-08     -0.37056000E-04     -0.33718490E-02
      37     -0.23423515E-08     -0.23651833E-08     -0.37279686E-04     -0.33718490E-02
      38     -0.23432121E-08     -0.23651833E-08     -0.37569271E-04     -0.33718490E-02
      39     -0.23439268E-08     -0.23651833E-08     -0.37747341E-04     -0.33718490E-02
      40     -0.23444278E-08     -0.23651833E-08     -0.37921861E-04     -0.33718490E-02
      41     -0.23448782E-08     -0.23651833E-08     -0.38083356E-04     -0.33718490E-02
      42     -0.23452709E-08     -0.23651833E-08     -0.38266397E-04     -0.33718490E-02
      43     -0.23458326E-08     -0.23651833E-08     -0.38381634E-04     -0.33718490E-02
      44     -0.23461953E-08     -0.23651833E-08     -0.38527395E-04     -0.33718490E-02
      45     -0.23466341E-08     -0.23651833E-08     -0.38729840E-04     -0.33718490E-02
      46     -0.23469036E-08     -0.23651833E-08     -0.38852540E-04     -0.33718490E-02
      47     -0.23473119E-08     -0.23651833E-08     -0.38974005E-04     -0.33718490E-02
      48     -0.23476567E-08     -0.23651833E-08     -0.39147844E-04     -0.33718490E-02
      49     -0.23480509E-08     -0.23651833E-08     -0.39319823E-04     -0.33718490E-02
      50     -0.23483253E-08     -0.23651833E-08     -0.39440614E-04     -0.33718490E-02
      51     -0.23486859E-08     -0.23651833E-08     -0.39635520E-04     -0.33718490E-02
      52     -0.23490408E-08     -0.23651833E-08     -0.39858875E-04     -0.33718490E-02
      53     -0.23493972E-08     -0.23651833E-08     -0.40044985E-04     -0.33718490E-02
      54     -0.23496574E-08     -0.23651833E-08     -0.40222865E-04     -0.33718490E-02
      55     -0.23501991E-08     -0.23651833E-08     -0.40536358E-04     -0.33718490E-02
      56     -0.23505962E-08     -0.23651833E-08     -0.40823007E-04     -0.33718490E-02
      57     -0.23511650E-08     -0.23651833E-08     -0.41109247E-04     -0.33718490E-02
      58     -0.23515651E-08     -0.23651833E-08     -0.41389528E-04     -0.33718490E-02
      59     -0.23520529E-08     -0.23651833E-08     -0.41661400E-04     -0.33718490E-02
      60     -0.23525702E-08     -0.23651833E-08     -0.42013318E-04     -0.33718490E-02
      61     -0.23530409E-08     -0.23651833E-08     -0.42309835E-04     -0.33718490E-02
      62     -0.23533477E-08     -0.23651833E-08     -0.42596375E-04     -0.33718490E-02
      63     -0.23537416E-08     -0.23651833E-08     -0.42889252E-04     -0.33718490E-02
      64     -0.23539645E-08     -0.23651833E-08     -0.43086342E-04     -0.33718490E-02
      65     -0.23542711E-08     -0.23651833E-08     -0.43342288E-04     -0.33718490E-02
      66     -0.23545361E-08     -0.23651833E-08     -0.43565533E-04     -0.33718490E-02
      67     -0.23548665E-08     -0.23651833E-08     -0.43871020E-04     -0.33718490E-02
      68     -0.23551010E-08     -0.23651833E-08     -0.44084161E-04     -0.33718490E-02
      69     -0.23553678E-08     -0.23651833E-08     -0.44350987E-04     -0.33718490E-02
      70     -0.23556357E-08     -0.23651833E-08     -0.44601768E-04     -0.33718490E-02
      71     -0.23558294E-08     -0.23651833E-08     -0.44799227E-04     -0.33718490E-02
      72     -0.23560976E-08     -0.23651833E-08     -0.45096900E-04     -0.33718490E-02
      73     -0.23563453E-08     -0.23651833E-08     -0.45394098E-04     -0.33718490E-02
      74     -0.23565235E-08     -0.23651833E-08     -0.45603180E-04     -0.33718490E-02
      75     -0.23567256E-08     -0.23651833E-08     -0.45812834E-04     -0.33718490E-02
      76     -0.23568649E-08     -0.23651833E-08     -0.46018996E-04     -0.33718490E-02
      77     -0.23570340E-08     -0.23651833E-08     -0.46188250E-04     -0.33718490E-02
      78     -0.23571599E-08     -0.23651833E-08     -0.46336726E-04     -0.33718490E-02
      79     -0.23572986E-08     -0.23651833E-08     -0.46494392E-04     -0.33718490E-02
      80     -0.23574276E-08     -0.23651833E-08     -0.46634930E-04     -0.33718490E-02
      81     -0.23575504E-08     -0.23651833E-08     -0.46774966E-04     -0.33718490E-02
      82     -0.23576513E-08     -0.23651833E-08     -0.46892915E-04     -0.33718490E-02
      83     -0.23577487E-08     -0.23651833E-08     -0.47008488E-04     -0.33718490E-02
      84     -0.23578554E-08     -0.23651833E-08     -0.47160178E-04     -0.33718490E-02
      85     -0.23579705E-08     -0.23651833E-08     -0.47293011E-04     -0.33718490E-02
      86     -0.23580925E-08     -0.23651833E-08     -0.47472705E-04     -0.33718490E-02
      87     -0.23581958E-08     -0.23651833E-08     -0.47567212E-04     -0.33718490E-02
      88     -0.23582962E-08     -0.23651833E-08     -0.47719731E-04     -0.33718490E-02
      89     -0.23583889E-08     -0.23651833E-08     -0.47835697E-04     -0.33718490E-02
      90     -0.23584874E-08     -0.23651833E-08     -0.48005156E-04     -0.33718490E-02
      91     -0.23585675E-08     -0.23651833E-08     -0.48139986E-04     -0.33718490E-02
      92     -0.23587028E-08     -0.23651833E-08     -0.48383319E-04     -0.33718490E-02
      93     -0.23588228E-08     -0.23651833E-08     -0.48590398E-04     -0.33718490E-02
      94     -0.23589064E-08     -0.23651833E-08     -0.48780209E-04     -0.33718490E-02
      95     -0.23589912E-08     -0.23651833E-08     -0.48941280E-04     -0.33718490E-02
      96     -0.23591044E-08     -0.23651833E-08     -0.49179012E-04     -0.33718490E-02
      97     -0.23592425E-08     -0.23651833E-08     -0.49429847E-04     -0.33718490E-02
      98     -0.23593395E-08     -0.23651833E-08     -0.49634403E-04     -0.33718490E-02
      99     -0.23594365E-08     -0.23651833E-08     -0.49820484E-04     -0.33718490E-02
     100     -0.23595091E-08     -0.23651833E-08     -0.49946051E-04     -0.33718490E-02
     101     -0.23595986E-08     -0.23651833E-08     -0.50104673E-04     -0.33718490E-02
     102     -0.23596814E-08     -0.23651833E-08     -0.50285037E-04     -0.33718490E-02
     103     -0.23600118E-08     -0.23651833E-08     -0.51032292E-04     -0.33718490E-02
     104     -0.23603038E-08     -0.23651833E-08     -0.51609399E-04     -0.33718490E-02
     105     -0.23605185E-08     -0.23651833E-08     -0.52152354E-04     -0.33718490E-02
     106     -0.23607636E-08     -0.23651833E-08     -0.52727104E-04     -0.33718490E-02
     107     -0.23609573E-08     -0.23651833E-08     -0.53250564E-04     -0.33718490E-02
     108     -0.23611423E-08     -0.23651833E-08     -0.53798056E-04     -0.33718490E-02
     109     -0.23613369E-08     -0.23651833E-08     -0.54416693E-04     -0.33718490E-02
     110     -0.23615000E-08     -0.23651833E-08     -0.54999354E-04     -0.33718490E-02
     111     -0.23616879E-08     -0.23651833E-08     -0.55621469E-04     -0.33718490E-02
     112     -0.23618130E-08     -0.23651833E-08     -0.56217042E-04     -0.33718490E-02
     113     -0.23619509E-08     -0.23651833E-08     -0.56807542E-04     -0.33718490E-02
     114     -0.23620902E-08     -0.23651833E-08     -0.57620858E-04     -0.33718490E-02
     115     -0.23622426E-08     -0.23651833E-08     -0.58441371E-04     -0.33718490E-02
     116     -0.23623667E-08     -0.23651833E-08     -0.59179310E-04     -0.33718490E-02
     117     -0.23624999E-08     -0.23651833E-08     -0.60274223E-04     -0.33718490E-02
     118     -0.23626363E-08     -0.23651833E-08     -0.61363802E-04     -0.33718490E-02
     119     -0.23627922E-08     -0.23651833E-08     -0.62526680E-04     -0.33718490E-02
     120     -0.23629412E-08     -0.23651833E-08     -0.63713851E-04     -0.33718490E-02
     121     -0.23630619E-08     -0.23651833E-08     -0.64753477E-04     -0.33718490E-02
     122     -0.23631533E-08     -0.23651833E-08     -0.65436800E-04     -0.33718490E-02
     123     -0.23632634E-08     -0.23651833E-08     -0.66293833E-04     -0.33718490E-02
     124     -0.23633634E-08     -0.23651833E-08     -0.67189855E-04     -0.33718490E-02
     125     -0.23634550E-08     -0.23651833E-08     -0.68057887E-04     -0.33718490E-02
     126     -0.23635306E-08     -0.23651833E-08     -0.68855079E-04     -0.33718490E-02
     127     -0.23636119E-08     -0.23651833E-08     -0.69839610E-04     -0.33718490E-02
     128     -0.23636943E-08     -0.23651833E-08     -0.70969029E-04     -0.33718490E-02
     129     -0.23637629E-08     -0.23651833E-08     -0.71976156E-04     -0.33718490E-02
     130     -0.23638280E-08     -0.23651833E-08     -0.72942879E-04     -0.33718490E-02
     131     -0.23638879E-08     -0.23651833E-08     -0.73867521E-04     -0.33718490E-02
     132     -0.23639569E-08     -0.23651833E-08     -0.75087043E-04     -0.33718490E-02
     133     -0.23640119E-08     -0.23651833E-08     -0.76132524E-04     -0.33718490E-02
     134     -0.23640710E-08     -0.23651833E-08     -0.77355286E-04     -0.33718490E-02
     135     -0.23641160E-08     -0.23651833E-08     -0.78457334E-04     -0.33718490E-02
     136     -0.23641625E-08     -0.23651833E-08     -0.79492679E-04     -0.33718490E-02
     137     -0.23642016E-08     -0.23651833E-08     -0.80546322E-04     -0.33718490E-02
     138     -0.23642404E-08     -0.23651833E-08     -0.81702835E-04     -0.33718490E-02
     139     -0.23642726E-08     -0.23651833E-08     -0.82849149E-04     -0.33718490E-02
     140     -0.23643073E-08     -0.23651833E-08     -0.84160675E-04     -0.33718490E-02
     141     -0.23643368E-08     -0.23651833E-08     -0.85301150E-04     -0.33718490E-02
     142     -0.23643689E-08     -0.23651833E-08     -0.86589048E-04     -0.33718490E-02
     143     -0.23643955E-08     -0.23651833E-08     -0.87717923E-04     -0.33718490E-02
     144     -0.23644278E-08     -0.23651833E-08     -0.89170772E-04     -0.33718490E-02
     145     -0.23644560E-08     -0.23651833E-08     -0.90494184E-04     -0.33718490E-02
     146     -0.23644860E-08     -0.23651833E-08     -0.91984780E-04     -0.33718490E-02
     147     -0.23645127E-08     -0.23651833E-08     -0.93515494E-04     -0.33718490E-02
     148     -0.23645371E-08     -0.23651833E-08     -0.95033943E-04     -0.33718490E-02
     149     -0.23645628E-08     -0.23651833E-08     -0.96838694E-04     -0.33718490E-02
     150     -0.23645866E-08     -0.23651833E-08     -0.98619987E-04     -0.33718490E-02
     151     -0.23646079E-08     -0.23651833E-08     -0.10047314E-03     -0.33718490E-02
     152     -0.23646262E-08     -0.23651833E-08     -0.10233424E-03     -0.33718490E-02
     153     -0.23646440E-08     -0.23651833E-08     -0.10435323E-03     -0.33718490E-02
     154     -0.23646620E-08     -0.23651833E-08     -0.10663807E-03     -0.33718490E-02
     155     -0.23646778E-08     -0.23651833E-08     -0.10881864E-03     -0.33718490E-02
     156     -0.23646925E-08     -0.23651833E-08     -0.11114211E-03     -0.33718490E-02
     157     -0.23647069E-08     -0.23651833E-08     -0.11351027E-03     -0.33718490E-02
     158     -0.23647203E-08     -0.23651833E-08     -0.11647814E-03     -0.33718490E-02
     159     -0.23647340E-08     -0.23651833E-08     -0.11964078E-03     -0.33718490E-02
     160     -0.23647469E-08     -0.23651833E-08     -0.12265368E-03     -0.33718490E-02
     161     -0.23647601E-08     -0.23651833E-08     -0.12645934E-03     -0.33718490E-02
     162     -0.23647720E-08     -0.23651833E-08     -0.13063449E-03     -0.33718490E-02
     163     -0.23647829E-08     -0.23651833E-08     -0.13519897E-03     -0.33718490E-02
     164     -0.23647916E-08     -0.23651833E-08     -0.13940308E-03     -0.33718490E-02
     165     -0.23648009E-08     -0.23651833E-08     -0.14493804E-03     -0.33718490E-02
     166     -0.23648089E-08     -0.23651833E-08     -0.14981936E-03     -0.33718490E-02
     167     -0.23648167E-08     -0.23651833E-08     -0.15559534E-03     -0.33718490E-02
     168     -0.23648233E-08     -0.23651833E-08     -0.16154291E-03     -0.33718490E-02
     169     -0.23648304E-08     -0.23651833E-08     -0.16911752E-03     -0.33718490E-02
     170     -0.23648364E-08     -0.23651833E-08     -0.17593834E-03     -0.33718490E-02
     171     -0.23648415E-08     -0.23651833E-08     -0.18333951E-03     -0.33718490E-02
     172     -0.23648459E-08     -0.23651833E-08     -0.19213614E-03     -0.33718490E-02
     173     -0.23648500E-08     -0.23651833E-08     -0.20105202E-03     -0.33718490E-02
     174     -0.23648541E-08     -0.23651833E-08     -0.21053254E-03     -0.33718490E-02
     175     -0.23648577E-08     -0.23651833E-08     -0.22100033E-03     -0.33718490E-02
     176     -0.23648608E-08     -0.23651833E-08     -0.23139955E-03     -0.33718490E-02
     177     -0.23648635E-08     -0.23651833E-08     -0.24193198E-03     -0.33718490E-02
     178     -0.23648662E-08     -0.23651833E-08     -0.25364178E-03     -0.33718490E-02
     179     -0.23648687E-08     -0.23651833E-08     -0.26621391E-03     -0.33718490E-02
     180     -0.23648709E-08     -0.23651833E-08     -0.27934633E-03     -0.33718490E-02
     181     -0.23648732E-08     -0.23651833E-08     -0.29339951E-03     -0.33718490E-02
     182     -0.23648754E-08     -0.23651833E-08     -0.30760537E-03     -0.33718490E-02
     183     -0.23648774E-08     -0.23651833E-08     -0.32142410E-03     -0.33718490E-02
     184     -0.23648790E-08     -0.23651833E-08     -0.33493257E-03     -0.33718490E-02
     185     -0.23648808E-08     -0.23651833E-08     -0.35023177E-03     -0.33718490E-02
     186     -0.23648823E-08     -0.23651833E-08     -0.36523945E-03     -0.33718490E-02
