# q=  0.10000000E-02  0.00000000E+00  0.00000000E+00  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.29207890E-07     -0.49456552E-07     -0.21561115E-05     -0.33777925E-02
       2     -0.32093871E-07     -0.49456552E-07     -0.43944055E-05     -0.33777925E-02
       3     -0.33235571E-07     -0.49456552E-07     -0.52407949E-05     -0.33777925E-02
       4     -0.33821361E-07     -0.49456552E-07     -0.63272371E-05     -0.33777925E-02
       5     -0.35312549E-07     -0.49456552E-07     -0.70479004E-05     -0.33777925E-02
       6     -0.35689316E-07     -0.49456552E-07     -0.81094546E-05     -0.33777925E-02
       7     -0.38990192E-07     -0.49456552E-07     -0.10061379E-04     -0.33777925E-02
       8     -0.41476591E-07     -0.49456552E-07     -0.10900513E-04     -0.33777925E-02
       9     -0.43589631E-07     -0.49456552E-07     -0.13389230E-04     -0.33777925E-02
      10     -0.45401214E-07     -0.49456552E-07     -0.15475183E-04     -0.33777925E-02
      11     -0.45917690E-07     -0.49456552E-07     -0.16847252E-04     -0.33777925E-02
      12     -0.46839762E-07     -0.49456552E-07     -0.18959514E-04     -0.33777925E-02
      13     -0.47627215E-07     -0.49456552E-07     -0.21259636E-04     -0.33777925E-02
      14     -0.47830967E-07     -0.49456552E-07     -0.23400717E-04     -0.33777925E-02
      15     -0.48021414E-07     -0.49456552E-07     -0.23927322E-04     -0.33777925E-02
      16     -0.48109735E-07     -0.49456552E-07     -0.24890240E-04     -0.33777925E-02
      17     -0.48197263E-07     -0.49456552E-07     -0.25568342E-04     -0.33777925E-02
      18     -0.48272313E-07     -0.49456552E-07     -0.26680274E-04     -0.33777925E-02
      19     -0.48338264E-07     -0.49456552E-07     -0.27740215E-04     -0.33777925E-02
      20     -0.48407544E-07     -0.49456552E-07     -0.28837184E-04     -0.33777925E-02
      21     -0.48462448E-07     -0.49456552E-07     -0.30163186E-04     -0.33777925E-02
      22     -0.48500176E-07     -0.49456552E-07     -0.30575288E-04     -0.33777925E-02
