# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =   0.00000000E+00   0.00000000E+00   0.00000000E+00
# Error est. for CH(vbm) CH(cbm) diff =   0.00000000E+00   0.00000000E+00   0.00000000E+00
#    Nb          CH(vbm)          CH(cbm)             diff
      1   0.00000000E+00   0.00000000E+00   0.00000000E+00
      2   0.00000000E+00   0.00000000E+00   0.00000000E+00
      3   0.00000000E+00   0.00000000E+00   0.00000000E+00
      4   0.00000000E+00   0.00000000E+00   0.00000000E+00
      5   0.00000000E+00   0.00000000E+00   0.00000000E+00
      6   0.00000000E+00   0.00000000E+00   0.00000000E+00
      7   0.00000000E+00   0.00000000E+00   0.00000000E+00
      8   0.00000000E+00   0.00000000E+00   0.00000000E+00
      9   0.00000000E+00   0.00000000E+00   0.00000000E+00
     10   0.00000000E+00   0.00000000E+00   0.00000000E+00
     11   0.00000000E+00   0.00000000E+00   0.00000000E+00
     12   0.00000000E+00   0.00000000E+00   0.00000000E+00
     13   0.00000000E+00   0.00000000E+00   0.00000000E+00
     14   0.00000000E+00   0.00000000E+00   0.00000000E+00
     15   0.00000000E+00   0.00000000E+00   0.00000000E+00
     16   0.00000000E+00   0.00000000E+00   0.00000000E+00
     17   0.00000000E+00   0.00000000E+00   0.00000000E+00
     18   0.00000000E+00   0.00000000E+00   0.00000000E+00
     19   0.00000000E+00   0.00000000E+00   0.00000000E+00
     20   0.00000000E+00   0.00000000E+00   0.00000000E+00
     21   0.00000000E+00   0.00000000E+00   0.00000000E+00
     22   0.00000000E+00   0.00000000E+00   0.00000000E+00
     23   0.00000000E+00   0.00000000E+00   0.00000000E+00
     24   0.00000000E+00   0.00000000E+00   0.00000000E+00
     25   0.00000000E+00   0.00000000E+00   0.00000000E+00
     26   0.00000000E+00   0.00000000E+00   0.00000000E+00
     27   0.00000000E+00   0.00000000E+00   0.00000000E+00
     28   0.00000000E+00   0.00000000E+00   0.00000000E+00
     29   0.00000000E+00   0.00000000E+00   0.00000000E+00
     30   0.00000000E+00   0.00000000E+00   0.00000000E+00
     31   0.00000000E+00   0.00000000E+00   0.00000000E+00
     32   0.00000000E+00   0.00000000E+00   0.00000000E+00
     33   0.00000000E+00   0.00000000E+00   0.00000000E+00
     34   0.00000000E+00   0.00000000E+00   0.00000000E+00
     35   0.00000000E+00   0.00000000E+00   0.00000000E+00
     36   0.00000000E+00   0.00000000E+00   0.00000000E+00
     37   0.00000000E+00   0.00000000E+00   0.00000000E+00
     38   0.00000000E+00   0.00000000E+00   0.00000000E+00
     39   0.00000000E+00   0.00000000E+00   0.00000000E+00
     40   0.00000000E+00   0.00000000E+00   0.00000000E+00
     41   0.00000000E+00   0.00000000E+00   0.00000000E+00
     42   0.00000000E+00   0.00000000E+00   0.00000000E+00
     43   0.00000000E+00   0.00000000E+00   0.00000000E+00
     44   0.00000000E+00   0.00000000E+00   0.00000000E+00
     45   0.00000000E+00   0.00000000E+00   0.00000000E+00
     46   0.00000000E+00   0.00000000E+00   0.00000000E+00
     47   0.00000000E+00   0.00000000E+00   0.00000000E+00
     48   0.00000000E+00   0.00000000E+00   0.00000000E+00
     49   0.00000000E+00   0.00000000E+00   0.00000000E+00
